Date,AAPL,MSFT,TSLA,^GSPC
2019-07-19,49.13935470581055,131.3131561279297,17.211999893188477,2976.610107421875
2019-07-22,50.26237487792969,133.05284118652344,17.045333862304688,2985.030029296875
2019-07-23,50.65531539916992,133.87945556640625,17.344667434692383,3005.469970703125
2019-07-24,50.61409378051758,135.25389099121094,17.658666610717773,3019.56005859375
2019-07-25,50.21387481689453,134.74447631835938,15.254667282104492,3003.669921875
2019-07-26,50.388511657714844,135.84979248046875,15.202667236328125,3025.860107421875
2019-07-29,50.859066009521484,135.5518341064453,15.718000411987305,3020.969970703125
2019-07-30,50.64076232910156,134.89825439453125,16.150667190551758,3013.179931640625
2019-07-31,51.67405319213867,130.97674560546875,16.107332229614258,2980.3798828125
2019-08-01,50.55588150024414,132.69723510742188,15.59000015258789,2953.56005859375
2019-08-02,49.486202239990234,131.582275390625,15.62266731262207,2932.050048828125
2019-08-05,46.89570617675781,127.074462890625,15.221332550048828,2844.739990234375
2019-08-06,47.78346252441406,129.45809936523438,15.383333206176758,2881.77001953125
2019-08-07,48.278282165527344,130.0251922607422,15.561332702636719,2883.97998046875
2019-08-08,49.34309005737305,133.49496459960938,15.886667251586914,2938.090087890625
2019-08-09,48.936492919921875,132.36080932617188,15.667332649230957,2918.64990234375
2019-08-12,48.81231689453125,130.51535034179688,15.267333030700684,2882.699951171875
2019-08-13,50.879432678222656,133.2162628173828,15.666666984558105,2926.320068359375
2019-08-14,49.3650016784668,129.2045135498047,14.641332626342773,2840.60009765625
2019-08-15,49.11909866333008,128.91522216796875,14.37600040435791,2847.60009765625
2019-08-16,50.278045654296875,131.27789306640625,14.662667274475098,2888.679931640625
2019-08-19,51.21543884277344,133.47659301757812,15.121999740600586,2923.64990234375
2019-08-20,51.21786880493164,132.3675994873047,15.057332992553711,2900.510009765625
2019-08-21,51.77299499511719,133.84304809570312,14.722000122070312,2924.429931640625
2019-08-22,51.72917556762695,132.8690948486328,14.8100004196167,2922.949951171875
2019-08-23,49.338218688964844,128.63551330566406,14.09333324432373,2847.110107421875
2019-08-26,50.27561950683594,130.6221160888672,14.333333015441895,2878.3798828125
2019-08-27,49.708309173583984,130.9018096923828,14.272000312805176,2869.159912109375
2019-08-28,50.04187774658203,130.72817993164062,14.37266731262207,2887.93994140625
2019-08-29,50.8891716003418,133.19696044921875,14.780667304992676,2924.580078125
2019-08-30,50.82343292236328,132.94627380371094,15.040666580200195,2926.4599609375
